"filename", "language", "Java", "comment", "blank", "total"
"d:\Java Script\Noita Simulator(Java Edition)\UIToolBox\Button.java", "Java", 23, 0, 3, 26
"d:\Java Script\Noita Simulator(Java Edition)\UIToolBox\FormalRectangle.java", "Java", 17, 0, 7, 24
"d:\Java Script\Noita Simulator(Java Edition)\UIToolBox\TextBox.java", "Java", 20, 0, 6, 26
"d:\Java Script\Noita Simulator(Java Edition)\UIToolBox\UIContainer.java", "Java", 43, 0, 8, 51
"d:\Java Script\Noita Simulator(Java Edition)\main\Gamepanel.java", "Java", 23, 0, 0, 23
"d:\Java Script\Noita Simulator(Java Edition)\main\MouseHandler.java", "Java", 12, -1, 2, 13
"d:\Java Script\Noita Simulator(Java Edition)\main\UI.java", "Java", 14, 0, 3, 17
"d:\Java Script\Noita Simulator(Java Edition)\particles\Acid.java", "Java", 1, 0, 0, 1
"d:\Java Script\Noita Simulator(Java Edition)\particles\Fire.java", "Java", 35, 1, 6, 42
"d:\Java Script\Noita Simulator(Java Edition)\particles\Gas.java", "Java", 35, 0, 6, 41
"d:\Java Script\Noita Simulator(Java Edition)\particles\Particle.java", "Java", 42, 0, 6, 48
"d:\Java Script\Noita Simulator(Java Edition)\particles\Sand.java", "Java", -1, 0, 0, -1
"d:\Java Script\Noita Simulator(Java Edition)\particles\Smoke.java", "Java", 42, 0, 6, 48
"d:\Java Script\Noita Simulator(Java Edition)\particles\Stone.java", "Java", -1, 0, 0, -1
"d:\Java Script\Noita Simulator(Java Edition)\particles\Water.java", "Java", -1, -1, 0, -2
"d:\Java Script\Noita Simulator(Java Edition)\particles\Wood.java", "Java", 0, 0, -1, -1
"Total", "-", 304, -1, 52, 355
